curso;disciplina;grau_exig;modalidade;media_notas_ant;num_disc_evadidas;mensal_atraso;sexo;idade;dist;sem;tamanho_turma;sit
Administração;Matemática financeira;2;1;7.3;0;1;F;24;2;7;42;
Administração;Planejamento contábil;2;1;7.3;0;0;F;20;3;7;25;
Engenharia de Produção;Gestão de Projetos;1;1;7.4;0;0;M;19;3;1;43;0
Administração;Métodos Estatísticos;3;2;7.4;1;2;F;21;1;1;36;1
Administração;Cálculo A;3;1;7.4;1;0;F;33;3;2;40;0
Gestão da Produção;Matemática financeira;2;1;7.4;0;2;M;25;1;2;35;0
Administração;Matemática financeira;2;1;7.4;0;0;F;29;1;2;41;0
Gestão da Produção;Métodos Estatísticos;3;2;7.4;0;1;F;19;1;2;35;0
Administração;Matemática financeira;2;1;7.4;2;0;M;23;1;4;36;1
Gestão da Produção;Métodos Estatísticos;3;1;7.4;0;0;F;20;1;5;41;0
Administração;Gestão de Projetos;1;2;7.4;1;0;F;23;1;6;24;1
Gestão da Produção;Métodos Estatísticos;3;1;7.4;0;3;F;32;1;6;33;0
Engenharia de Produção;Cálculo B;3;1;7.4;0;0;F;21;1;7;42;
Administração;Comportamento do consumidor;1;2;7.4;0;0;F;23;1;7;25;
Administração;Gestão de Projetos;1;1;7.4;0;5;F;37;1;7;33;
Gestão da Produção;Métodos Estatísticos;3;1;7.4;3;2;M;25;2;7;35;
Engenharia de Produção;Cálculo A;3;1;7.5;0;3;F;21;2;1;41;1
Administração;Cálculo A;3;1;7.5;0;0;F;29;2;1;40;0
Administração;Comportamento do consumidor;1;1;7.5;0;1;M;20;2;1;25;0
Administração;Gestão de Projetos;1;2;7.5;2;0;M;24;1;1;33;1
Administração;Matemática financeira;2;1;7.5;1;2;F;19;1;1;40;1
Gestão da Produção;Métodos Estatísticos;3;1;7.5;1;0;M;21;1;1;25;0
Administração;Planejamento contábil;2;1;7.5;1;0;M;25;2;1;25;0
Administração;Cálculo A;3;1;7.5;0;0;M;21;1;2;35;0
Engenharia de Produção;Gestão de Projetos;1;1;7.5;0;0;M;29;1;2;42;0
Gestão da Produção;Gestão de Projetos;1;2;7.5;1;1;M;26;2;2;40;1
Gestão da Produção;Matemática financeira;2;1;7.5;1;0;F;18;1;2;30;0
Gestão da Produção;Métodos Estatísticos;3;1;7.5;0;0;M;28;2;3;40;0
